auction_id,titulo,cat,pais,retail,piezas,puja_actual,recuperacion,ingreso_esperado,puja_max,margen_para_pujar,sell_through,rotacion_d,calidad,match
51545,"4 Pallets of Hair Care Appliances, Medical App","Hair Care Appliances, Medical Appl",ES,26870.0,401.0,2480.0,29.037151278434514,7802.282548515354,1972.42,-507.5799999999999,69.87215248721526,431.0,datos,Hair Care Appliances(exacta); Medical Appliances(exacta)
50894,4 Pallets of Shaving & Hair Removal Appliances,"Shaving & Hair Removal Appliances,",PL,20542.0,352.0,3800.0,27.828545215457474,5716.539758159274,573.94,-3226.06,77.13494899158478,431.0,datos,Shaving & Hair Removal Appliances(exacta); Hair Care Appliances(exacta)
51520,"4 Pallets of Personal Care, Beauty & More, 1,3","Personal Care, Beauty",DE,40268.0,1315.0,4999.0,15.530823298816607,6253.951925967471,816.28,-4182.72,41.151685393258425,431.0,datos,Shaving & Hair Removal Appliances(alias); Beauty(depto)
50877,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,4525.0,24.031715526945305,,,,,,global,(global)
51488,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,4225.0,24.031715526945305,,,,,,global,(global)
50902,"4 Pallets of Personal Care, Beauty & More, 1,0","Personal Care, Beauty",DE,35246.0,1046.0,4525.0,15.530823298816607,5473.993979900902,619.11,-3905.89,41.151685393258425,431.0,datos,Shaving & Hair Removal Appliances(alias); Beauty(depto)
51469,"Truckload of Floorcare, Laundry & More, 264 Pi","Floorcare, Laundry",ES,62263.0,264.0,3025.0,18.316119420162583,11404.165434575829,2267.21,-757.79,60.47945205479452,420.0,datos,Floorcare(exacta); Laundry(exacta)
50886,"Truckload of Lawn and Garden, Furniture & More","Lawn and Garden, Furniture",PL,33889.0,417.0,1926.0,35.19777696686239,11928.174636299997,2399.68,473.67999999999984,76.89226458871428,269.0,datos,Lawn and Garden(depto); Furniture(exacta)
51451,"4 Pallets of Personal Care, Beauty & More, 968","Personal Care, Beauty",DE,39943.0,968.0,6790.0,15.530823298816607,6203.476750246317,803.52,-5986.48,41.151685393258425,431.0,datos,Shaving & Hair Removal Appliances(alias); Beauty(depto)
50903,"4 Pallets of Electronics, PC Goods & More, 709","Electronics, PC Goods",DE,27780.0,709.0,2025.0,19.17978047942661,5328.143017184712,582.23,-1442.77,52.90697674418605,281.0,datos,Electronics(depto)
51581,"Small Truckload of TVs 42""-50"", TVs 33""-41"" & ","TVs 42""-50"", TVs 33""-41""",PL,36750.0,114.0,1425.0,24.031715526945305,8831.655456152399,1813.39,388.3900000000001,,,global,(global)
50899,"4 Pallets of Games, Vehicles & More, 563 Piece","Games, Vehicles",DE,17058.0,563.0,1025.0,11.666090647679484,1990.0017426811662,0.0,-1025.0,30.92643051771117,317.0,datos,Games(exacta); Vehicles(exacta)
51427,"4 Pallets of Games, Action Figures & Accessori","Games, Action Figures & Accessorie",DE,19919.0,633.0,1525.0,15.04903784016485,2997.6178473824366,0.0,-1525.0,34.099616858237546,315.0,datos,Games(exacta); Action Figures & Accessories(exacta)
50891,"4 Pallets of Spare & Repair Parts Car & Truck,","Spare & Repair Parts Car & Truck, ",PL,21668.0,480.0,2970.0,17.102936831906582,3705.864352737518,65.64,-2904.36,52.5122082343981,371.0,datos,Spare & Repair Parts Car & Truck(exacta); Motorbike Accessories & Parts(exacta)
51476,"4 Pallets of Home Improvement, Auto Goods & Mo","Home Improvement, Auto Goods",IT,24608.0,709.0,1136.0,19.10405129047176,4701.124941559291,462.44,-673.56,47.873179224038154,371.0,datos,Home Improvement(depto); Spare & Repair Parts Car & Truck(alias)
51494,4 Pallets of Shaving & Hair Removal Appliances,"Shaving & Hair Removal Appliances,",PL,17900.0,381.0,1726.0,32.270252660610254,5776.375226249235,589.07,-1136.9299999999998,75.04057428214732,431.0,datos,Shaving & Hair Removal Appliances(exacta); Medical Appliances(exacta)
50879,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,4350.0,24.031715526945305,,,,,,global,(global)
51491,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,4225.0,24.031715526945305,,,,,,global,(global)
51417,"Small Truckload of Home Entertainment, Office ","Home Entertainment, Office Product",PL,49854.0,305.0,1802.0,9.666827944987196,4819.300403693916,799.07,-1002.93,25.0,270.0,datos,Home Entertainment(exacta)
51556,"Truckload of Home Improvement, Lawn and Garden","Home Improvement, Lawn and Garden",ES,51881.0,385.0,4575.0,32.43138810573177,16825.728463134703,3637.78,-937.2199999999998,63.91211844777334,368.5,datos,Home Improvement(depto); Lawn and Garden(depto)
51509,"Truckload of Garden & Landscaping Tools, Plumb","Garden & Landscaping Tools, Plumbi",PL,68768.0,541.0,4825.0,26.284482304097583,18075.312790881828,3953.67,-871.3299999999999,68.31056793673615,334.0,datos,Garden & Landscaping Tools(exacta); Plumbing and Bath(exacta)
50880,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,4330.0,24.031715526945305,,,,,,global,(global)
51574,"UNMANIFESTED Truckload of Mixed Categories, Cu",None,IT,,,3977.0,24.031715526945305,,,,,,global,(global)
50873,"Small Truckload of Floorcare, Hot Beverage Mak","Floorcare, Hot Beverage Makers",ES,30407.0,465.0,2425.0,26.38146042823808,8021.810672414353,1608.66,-816.3399999999999,78.84961780065088,386.0,datos,Floorcare(exacta); Hot Beverage Makers(exacta)
51482,"4 Pallets of Sporting Goods, Toys & More, 618 ","Sporting Goods, Toys",IT,22462.0,618.0,1675.0,34.69615938509006,7793.45132107893,1244.18,-430.81999999999994,52.27272727272727,272.5,datos,Exercise & Fitness(alias); Toys(exacta)
